"","ID","Day","Month","Year","Location","Danger_Score","Trigger_Type","Origin","Size","Members","Dragged","Hurt","Dead","Activity","lat","long"
"154",332,"10","02","2018","Les Agudes (Massís del Montseny)","No prediction","Slab","Accidental",NA,3,3,3,0,"Mountaineerin",41.789832,2.445474
"155",271,"07","02","2018","Coll de la Marrana","3","Slab","Accidental",NA,1,1,0,0,"Skimo",42.417527,2.243593
"156",246,"04","02","2018","Coll de Certascan","3","Slab","Accidental",NA,5,2,1,0,"Skimo",42.709404,1.274527
"157",250,"27","01","2018","Comabella","3","Slab","Accidental",NA,1,1,0,0,"Off-piste skiing",42.319643,1.923743
"158",460,"16","01","2018","Portella de Rialb","2","Slab","Accidental",1,3,2,0,0,"Skimo",42.6402413604066,1.53557006085043
"159",461,"16","01","2018","Tossa d'Incles","2","Slab","Unknown",1.5,NA,1,0,0,"Skimo",42.5807676906943,1.69310901494233
"160",225,"12","01","2018","Pic de la Coma del Forn","2","Slab","Accidental",NA,1,1,0,0,"Skimo",42.677636,1.190628
"161",227,"12","01","2018","Campirme","2","Slab","Accidental",NA,NA,-1,0,0,"Skimo",42.662878,1.196625
"162",224,"04","01","2018","Solana de la Carma","2","Point Release","Natural",NA,1,1,0,0,"Rackets",42.570152,0.824808
"163",454,"17","12","2018","Clots de Massat","2","Unknown","Accidental",2,1,1,1,0,"Rackets",42.5757115483155,1.70257638314417
"164",455,"01","12","2018","Pas de la Casa","No prediction","Slab","Accidental",1.5,1,1,0,0,"Off-piste skiing",42.5274363631943,1.7228912496931
"165",229,"04","05","2019","Coll de la Marrana","2","Slab","Accidental",NA,1,1,0,0,"Skimo",42.417121,2.242709
"166",372,"18","04","2019","W Pico Tempestades. Corredor Magadeta","Unknown","Slab","Accidental",2,2,2,0,0,"Skimo",42.624899,0.661801
"167",228,"13","04","2019","Coll de l’Estany Gelat","2","Slab","Accidental",NA,1,1,0,0,"Skimo",42.614599,0.983647
